Mev_period0,Mev_period1,Mev_period2,Mev_period3,gas_fees_period0,gas_fees_period1,gas_fees_period2,gas_fees_period3,price_volitility_period0,price_volitility_period1,price_volitility_period2,price_volitility_period3
3.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,5.514971175155597427e-01,4.388284008667184821e-01,6.361922364640431038e-01,6.528802857948573513e-01,6.867547485097733606e-01,1.936361879814609832e-01,5.391602556311180239e-01,2.424105753669764107e-01
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,4.388284008667184821e-01,6.361922364640431038e-01,6.528802857948573513e-01,4.719444444133261696e-01,1.936361879814609832e-01,5.391602556311180239e-01,2.424105753669764107e-01,2.460792654702466109e-01
2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,6.361922364640431038e-01,6.528802857948573513e-01,4.719444444133261696e-01,5.372162088654344192e-01,5.391602556311180239e-01,2.424105753669764107e-01,2.460792654702466109e-01,2.788757118208609054e-01
0.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,6.528802857948573513e-01,4.719444444133261696e-01,5.372162088654344192e-01,2.897556183349270231e-01,2.424105753669764107e-01,2.460792654702466109e-01,2.788757118208609054e-01,6.859774478225164618e-01
2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,4.719444444133261696e-01,5.372162088654344192e-01,2.897556183349270231e-01,1.917920941262656331e-01,2.460792654702466109e-01,2.788757118208609054e-01,6.859774478225164618e-01,6.554058194711198659e-02
2.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,5.372162088654344192e-01,2.897556183349270231e-01,1.917920941262656331e-01,7.083335882081120971e-01,2.788757118208609054e-01,6.859774478225164618e-01,6.554058194711198659e-02,4.065529751170421369e-01
0.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,2.897556183349270231e-01,1.917920941262656331e-01,7.083335882081120971e-01,5.387608605373273019e-01,6.859774478225164618e-01,6.554058194711198659e-02,4.065529751170421369e-01,6.161084375187404483e-01
3.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,1.917920941262656331e-01,7.083335882081120971e-01,5.387608605373273019e-01,1.459177067022964236e-01,6.554058194711198659e-02,4.065529751170421369e-01,6.161084375187404483e-01,8.683923035996132800e-02
2.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,7.083335882081120971e-01,5.387608605373273019e-01,1.459177067022964236e-01,8.437281023602141161e-01,4.065529751170421369e-01,6.161084375187404483e-01,8.683923035996132800e-02,3.792369195662181891e-02
1.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,5.387608605373273019e-01,1.459177067022964236e-01,8.437281023602141161e-01,6.842551970907875258e-01,6.161084375187404483e-01,8.683923035996132800e-02,3.792369195662181891e-02,6.352948489951180111e-01
3.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,1.459177067022964236e-01,8.437281023602141161e-01,6.842551970907875258e-01,8.321528918582962175e-01,8.683923035996132800e-02,3.792369195662181891e-02,6.352948489951180111e-01,2.589646779547674083e-01
2.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.437281023602141161e-01,6.842551970907875258e-01,8.321528918582962175e-01,3.863437058866657781e-01,3.792369195662181891e-02,6.352948489951180111e-01,2.589646779547674083e-01,1.971074035658909596e-01
3.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,6.842551970907875258e-01,8.321528918582962175e-01,3.863437058866657781e-01,4.911328088195983099e-01,6.352948489951180111e-01,2.589646779547674083e-01,1.971074035658909596e-01,7.580819147026085503e-01
1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,8.321528918582962175e-01,3.863437058866657781e-01,4.911328088195983099e-01,6.935637096831914761e-02,2.589646779547674083e-01,1.971074035658909596e-01,7.580819147026085503e-01,4.263372381318659698e-01
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,3.863437058866657781e-01,4.911328088195983099e-01,6.935637096831914761e-02,7.090172054915113709e-01,1.971074035658909596e-01,7.580819147026085503e-01,4.263372381318659698e-01,6.180868716312342137e-01
2.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,4.911328088195983099e-01,6.935637096831914761e-02,7.090172054915113709e-01,1.642023290768076516e-01,7.580819147026085503e-01,4.263372381318659698e-01,6.180868716312342137e-01,9.025018794238099940e-01
0.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,6.935637096831914761e-02,7.090172054915113709e-01,1.642023290768076516e-01,5.375475033576323503e-01,4.263372381318659698e-01,6.180868716312342137e-01,9.025018794238099940e-01,6.025530857497233272e-01
3.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,7.090172054915113709e-01,1.642023290768076516e-01,5.375475033576323503e-01,4.794198675055982850e-01,6.180868716312342137e-01,9.025018794238099940e-01,6.025530857497233272e-01,1.316085182369752804e-01
1.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,1.642023290768076516e-01,5.375475033576323503e-01,4.794198675055982850e-01,6.469174515713667084e-01,9.025018794238099940e-01,6.025530857497233272e-01,1.316085182369752804e-01,6.660098158040699268e-01
3.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.375475033576323503e-01,4.794198675055982850e-01,6.469174515713667084e-01,8.749737556834508156e-01,6.025530857497233272e-01,1.316085182369752804e-01,6.660098158040699268e-01,7.396914162674780302e-01
2.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.794198675055982850e-01,6.469174515713667084e-01,8.749737556834508156e-01,1.509394844630096433e-02,1.316085182369752804e-01,6.660098158040699268e-01,7.396914162674780302e-01,6.793988479963561922e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.469174515713667084e-01,8.749737556834508156e-01,1.509394844630096433e-02,6.629267852078191137e-01,6.660098158040699268e-01,7.396914162674780302e-01,6.793988479963561922e-01,2.916478065512745355e-01
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.749737556834508156e-01,1.509394844630096433e-02,6.629267852078191137e-01,7.407051870896370627e-01,7.396914162674780302e-01,6.793988479963561922e-01,2.916478065512745355e-01,7.286716088471060226e-01
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,1.509394844630096433e-02,6.629267852078191137e-01,7.407051870896370627e-01,9.010110287577244303e-01,6.793988479963561922e-01,2.916478065512745355e-01,7.286716088471060226e-01,6.262166704469755985e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,6.629267852078191137e-01,7.407051870896370627e-01,9.010110287577244303e-01,6.420102285710269641e-01,2.916478065512745355e-01,7.286716088471060226e-01,6.262166704469755985e-01,5.261573500516937285e-01
0.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,7.407051870896370627e-01,9.010110287577244303e-01,6.420102285710269641e-01,3.835122130436731114e-01,7.286716088471060226e-01,6.262166704469755985e-01,5.261573500516937285e-01,2.480679449309376450e-01
3.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,9.010110287577244303e-01,6.420102285710269641e-01,3.835122130436731114e-01,7.394321215861643370e-01,6.262166704469755985e-01,5.261573500516937285e-01,2.480679449309376450e-01,1.578389786998539712e-01
2.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,6.420102285710269641e-01,3.835122130436731114e-01,7.394321215861643370e-01,4.306018647438603075e-01,5.261573500516937285e-01,2.480679449309376450e-01,1.578389786998539712e-01,5.570664045681065213e-01
3.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,3.835122130436731114e-01,7.394321215861643370e-01,4.306018647438603075e-01,9.891597715337667740e-01,2.480679449309376450e-01,1.578389786998539712e-01,5.570664045681065213e-01,7.625452005422557189e-01
2.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,7.394321215861643370e-01,4.306018647438603075e-01,9.891597715337667740e-01,5.553536958735657558e-01,1.578389786998539712e-01,5.570664045681065213e-01,7.625452005422557189e-01,9.005257721723319841e-01
1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,4.306018647438603075e-01,9.891597715337667740e-01,5.553536958735657558e-01,4.457518134506412988e-01,5.570664045681065213e-01,7.625452005422557189e-01,9.005257721723319841e-01,2.395310078230461492e-02
2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.891597715337667740e-01,5.553536958735657558e-01,4.457518134506412988e-01,3.826023397028168738e-01,7.625452005422557189e-01,9.005257721723319841e-01,2.395310078230461492e-02,2.905079352528254777e-01
3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,5.553536958735657558e-01,4.457518134506412988e-01,3.826023397028168738e-01,4.121231209894574699e-01,9.005257721723319841e-01,2.395310078230461492e-02,2.905079352528254777e-01,6.811991989141837900e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,4.457518134506412988e-01,3.826023397028168738e-01,4.121231209894574699e-01,8.636175674090896814e-01,2.395310078230461492e-02,2.905079352528254777e-01,6.811991989141837900e-01,9.852759450442042377e-01
0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,3.826023397028168738e-01,4.121231209894574699e-01,8.636175674090896814e-01,5.346021839938003284e-01,2.905079352528254777e-01,6.811991989141837900e-01,9.852759450442042377e-01,3.467337968115774549e-01
3.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,4.121231209894574699e-01,8.636175674090896814e-01,5.346021839938003284e-01,9.011967839115575529e-01,6.811991989141837900e-01,9.852759450442042377e-01,3.467337968115774549e-01,1.439674203239845740e-01
0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,8.636175674090896814e-01,5.346021839938003284e-01,9.011967839115575529e-01,1.846889657481591840e-01,9.852759450442042377e-01,3.467337968115774549e-01,1.439674203239845740e-01,3.718756777282894443e-01
2.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,5.346021839938003284e-01,9.011967839115575529e-01,1.846889657481591840e-01,4.460653298146919354e-01,3.467337968115774549e-01,1.439674203239845740e-01,3.718756777282894443e-01,2.021303381732958426e-01
1.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,9.011967839115575529e-01,1.846889657481591840e-01,4.460653298146919354e-01,5.747730096881971118e-01,1.439674203239845740e-01,3.718756777282894443e-01,2.021303381732958426e-01,7.698481095579866595e-01
3.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,1.846889657481591840e-01,4.460653298146919354e-01,5.747730096881971118e-01,3.042580945408895898e-01,3.718756777282894443e-01,2.021303381732958426e-01,7.698481095579866595e-01,3.455194200799982518e-03
2.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,4.460653298146919354e-01,5.747730096881971118e-01,3.042580945408895898e-01,3.528482649611990318e-01,2.021303381732958426e-01,7.698481095579866595e-01,3.455194200799982518e-03,6.414808413194653669e-01
2.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,5.747730096881971118e-01,3.042580945408895898e-01,3.528482649611990318e-01,9.592571812705742440e-01,7.698481095579866595e-01,3.455194200799982518e-03,6.414808413194653669e-01,8.697258230704957294e-01
2.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,3.042580945408895898e-01,3.528482649611990318e-01,9.592571812705742440e-01,6.119995306214618402e-01,3.455194200799982518e-03,6.414808413194653669e-01,8.697258230704957294e-01,9.775283752018194550e-01
1.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,3.528482649611990318e-01,9.592571812705742440e-01,6.119995306214618402e-01,1.096067871686656758e-01,6.414808413194653669e-01,8.697258230704957294e-01,9.775283752018194550e-01,6.474352424707141562e-01
3.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.592571812705742440e-01,6.119995306214618402e-01,1.096067871686656758e-01,9.499956581685754520e-01,8.697258230704957294e-01,9.775283752018194550e-01,6.474352424707141562e-01,1.326812509466368528e-02
2.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,6.119995306214618402e-01,1.096067871686656758e-01,9.499956581685754520e-01,3.116712015804099511e-01,9.775283752018194550e-01,6.474352424707141562e-01,1.326812509466368528e-02,2.269623268432744423e-01
1.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,1.096067871686656758e-01,9.499956581685754520e-01,3.116712015804099511e-01,9.997641753291440780e-01,6.474352424707141562e-01,1.326812509466368528e-02,2.269623268432744423e-01,2.581412549897873498e-01
1.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,9.499956581685754520e-01,3.116712015804099511e-01,9.997641753291440780e-01,9.899503545935792737e-01,1.326812509466368528e-02,2.269623268432744423e-01,2.581412549897873498e-01,6.160390445396592973e-01
3.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,3.116712015804099511e-01,9.997641753291440780e-01,9.899503545935792737e-01,2.270724671902923930e-02,2.269623268432744423e-01,2.581412549897873498e-01,6.160390445396592973e-01,5.199238884444955522e-01
2.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,9.997641753291440780e-01,9.899503545935792737e-01,2.270724671902923930e-02,7.745373761666101142e-01,2.581412549897873498e-01,6.160390445396592973e-01,5.199238884444955522e-01,8.159282798074407594e-02
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,9.899503545935792737e-01,2.270724671902923930e-02,7.745373761666101142e-01,4.800279642817665282e-01,6.160390445396592973e-01,5.199238884444955522e-01,8.159282798074407594e-02,6.630290659680673215e-01
2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,2.270724671902923930e-02,7.745373761666101142e-01,4.800279642817665282e-01,1.370679005409182194e-01,5.199238884444955522e-01,8.159282798074407594e-02,6.630290659680673215e-01,3.776135553333485051e-01
0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.745373761666101142e-01,4.800279642817665282e-01,1.370679005409182194e-01,4.851785271664919019e-01,8.159282798074407594e-02,6.630290659680673215e-01,3.776135553333485051e-01,3.375085596426609102e-01
2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.800279642817665282e-01,1.370679005409182194e-01,4.851785271664919019e-01,7.786882667434082972e-01,6.630290659680673215e-01,3.776135553333485051e-01,3.375085596426609102e-01,1.134131454314240006e-01
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,1.370679005409182194e-01,4.851785271664919019e-01,7.786882667434082972e-01,4.000825873416176126e-01,3.776135553333485051e-01,3.375085596426609102e-01,1.134131454314240006e-01,6.295055259957416105e-02
0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,4.851785271664919019e-01,7.786882667434082972e-01,4.000825873416176126e-01,3.446302928593877324e-01,3.375085596426609102e-01,1.134131454314240006e-01,6.295055259957416105e-02,8.019228980222409264e-01
0.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,7.786882667434082972e-01,4.000825873416176126e-01,3.446302928593877324e-01,1.097057853783157677e-01,1.134131454314240006e-01,6.295055259957416105e-02,8.019228980222409264e-01,8.657048250440880777e-01
3.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000825873416176126e-01,3.446302928593877324e-01,1.097057853783157677e-01,3.363502783987087907e-01,6.295055259957416105e-02,8.019228980222409264e-01,8.657048250440880777e-01,3.974669336879390613e-01
3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,3.446302928593877324e-01,1.097057853783157677e-01,3.363502783987087907e-01,5.166575485133161338e-01,8.019228980222409264e-01,8.657048250440880777e-01,3.974669336879390613e-01,7.181367446877443550e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,1.097057853783157677e-01,3.363502783987087907e-01,5.166575485133161338e-01,4.675302773179838001e-01,8.657048250440880777e-01,3.974669336879390613e-01,7.181367446877443550e-01,5.402277190391542305e-01
0.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.363502783987087907e-01,5.166575485133161338e-01,4.675302773179838001e-01,9.536453714649243407e-01,3.974669336879390613e-01,7.181367446877443550e-01,5.402277190391542305e-01,9.773933860685221076e-01
3.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,5.166575485133161338e-01,4.675302773179838001e-01,9.536453714649243407e-01,2.135811483295702029e-01,7.181367446877443550e-01,5.402277190391542305e-01,9.773933860685221076e-01,5.197135258869244323e-01
1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,4.675302773179838001e-01,9.536453714649243407e-01,2.135811483295702029e-01,7.822517963391295570e-02,5.402277190391542305e-01,9.773933860685221076e-01,5.197135258869244323e-01,8.327301228825301216e-01
0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.536453714649243407e-01,2.135811483295702029e-01,7.822517963391295570e-02,9.150486730222966436e-01,9.773933860685221076e-01,5.197135258869244323e-01,8.327301228825301216e-01,6.188712464264501945e-01
2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,2.135811483295702029e-01,7.822517963391295570e-02,9.150486730222966436e-01,6.085810579926198560e-01,5.197135258869244323e-01,8.327301228825301216e-01,6.188712464264501945e-01,8.573697124275979631e-01
1.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,7.822517963391295570e-02,9.150486730222966436e-01,6.085810579926198560e-01,5.897699426042701809e-02,8.327301228825301216e-01,6.188712464264501945e-01,8.573697124275979631e-01,5.794894404143442479e-01
